tc_id,req_id,title,steps,expected_result,source_reviews,test_type,priority
TC-18.2,REQ-18,Verify translation accuracy score meets automated check threshold,Run the automated translation accuracy check on the latest build. | Collect the accuracy score for all user-facing content. | Compare the score against the 95% threshold.,The translation accuracy score is above 95% in automated checks.,"R-333206289-a38cf4b2, R-333206289-94026b06",regression,medium
TC-19.1,REQ-19,Verify UI elements scale correctly on tablets and large phones,"Launch the app on a tablet or large phone device. | Navigate through all main screens. | Check that buttons, images, and text scale proportionally without distortion or overlap.","All UI elements scale correctly, maintaining proper alignment and readability on larger screens.","R-333206289-96959050, R-333206289-6f8ae21c, R-333206289-0407bb03",functional,high
TC-19.2,REQ-19,Verify no text truncation or overlap in supported languages,"Change the app language to each supported language. | Navigate through all screens and check for truncated or overlapping text. | Pay special attention to labels, buttons, and error messages.",All localized text fits within its designated area without truncation or overlap in any supported language.,"R-333206289-c4184ce4, R-333206289-f1a97d7d",functional,high
TC-20.1,REQ-20,Verify language remains consistent during transaction flow for non-Chinese user,"Set app language to English for a non-Chinese user. | Start a transaction flow (e.g., purchase an item). | Navigate through all steps of the transaction (cart, checkout, payment, confirmation). | Observe the language displayed on each screen.",All transaction screens remain in English; no switch to Chinese occurs at any step.,R-333206289-17864745,functional,high
TC-20.2,REQ-20,Verify automated tests cover transaction flows in multiple languages,"Review the automated test suite for transaction flows. | Check that test cases exist for at least English, Spanish, and French. | Run the automated tests for transaction flows in each language. | Verify that all tests pass without any language switching issues.","Automated tests cover transaction flows in multiple languages and pass successfully, confirming no language switch occurs.",R-333206289-17864745,regression,medium
TC-21.1,REQ-21,Verify WeChat Pay appears as a payment option in settings and checkout,Open the app and navigate to payment settings. | Check the list of available payment methods. | Proceed to checkout for a sample item. | Verify WeChat Pay is listed as a selectable payment method in both locations.,WeChat Pay is displayed as a selectable payment method in the payment settings and checkout flow.,R-333206289-5e68894f,functional,high
TC-21.2,REQ-21,Verify successful transaction using WeChat Pay,Add an item to the cart and proceed to checkout. | Select WeChat Pay as the payment method. | Complete the payment using a valid WeChat Pay account. | Confirm the order is placed successfully.,The transaction is completed without errors and the order is confirmed.,R-333206289-5e68894f,functional,high
TC-22.1,REQ-22,Verify successful credit card linking with valid foreign card,"Open the app and navigate to the payment methods section. | Select 'Add Credit Card'. | Enter a valid foreign credit card number, expiration date, and CVV. | Submit the card information.",The credit card is linked successfully without any validation errors. A confirmation message is displayed.,"R-333206289-699d0d38, R-333206289-5cdfc4d4, R-333206289-283c96ff",functional,high
TC-22.2,REQ-22,Verify clear error message when linking invalid card,"Open the app and navigate to the payment methods section. | Select 'Add Credit Card'. | Enter an invalid credit card number (e.g., incorrect format). | Submit the card information.","An error message is displayed clearly indicating the reason for failure (e.g., invalid card number). The user is not charged and can correct the information.","R-333206289-00ebae0e, R-333206289-264d1e3c",functional,high
TC-23.1,REQ-23,Verify adding an international credit card from a supported country,"Open the app and navigate to the payment methods section. | Select 'Add Payment Method' and choose 'Credit/Debit Card'. | Enter a valid international credit card number from a supported country (e.g., UK, Germany, Japan). | Enter the cardholder name, expiration date, and CVV. | Submit the card details.","The international credit card is successfully added without errors, and it appears in the list of payment methods.","R-333206289-3aca76d4, R-333206289-f2d70d12, R-333206289-a2ff1af3",functional,high
TC-23.2,REQ-23,Verify payment processing with an international debit card,Add an international debit card from a supported country. | Initiate a purchase or payment using the added international debit card. | Complete the transaction.,"The payment is processed successfully without errors, and the transaction is completed.","R-333206289-6e4ef447, R-333206289-f2d70d12",functional,high
TC-23.3,REQ-23,Verify currency conversion information is displayed for international cards,"Add an international credit card from a country with a different currency (e.g., EUR). | Navigate to a payment screen and select the international card. | Review the displayed payment details.","The app displays appropriate currency conversion information, including the converted amount and exchange rate, before confirming the payment.","R-333206289-a2ff1af3, R-333206289-3aca76d4",functional,medium
TC-24.1,REQ-24,Verify foreign card linking for international users,"Launch the app with a user account set to a non-China region. | Navigate to the payment methods section. | Select 'Add credit/debit card'. | Enter a valid foreign card number (e.g., Visa, Mastercard, Amex, Discover, JCB). | Enter card expiration date, CVV, and billing address. | Submit the card details.",The foreign card is successfully linked without any error messages. The card appears in the payment methods list.,"R-333206289-126bb0d3, R-333206289-4aff74a0, R-333206289-5da786c2",functional,high
TC-24.2,REQ-24,Verify foreign bank account linking for international users,"Launch the app with a user account set to a non-China region. | Navigate to the payment methods section. | Select 'Add bank account'. | Enter a valid foreign bank account number and routing number (e.g., US, UK, EU). | Enter the account holder name and confirm details. | Submit the bank account details.",The foreign bank account is successfully linked without any error messages. The account appears in the payment methods list.,"R-333206289-2b1f795b, R-333206289-bc157397",functional,high
TC-25.1,REQ-25,Verify home screen shows only primary actions within first screen,Launch the app and log in. | Observe the home screen without scrolling. | Note all visible actions and elements.,"The home screen displays only primary actions (e.g., send money, request money, view balance) within the first screen, with no secondary or clutter elements visible without scrolling.","R-333206289-713fda3e, R-333206289-da2eb5fc",functional,high
TC-25.2,REQ-25,Verify navigation menu has at most 5 main items,Launch the app and log in. | Open the main navigation menu. | Count the number of main menu items displayed.,"The navigation menu displays at most 5 main items, and all core features are accessible from these items.","R-333206289-713fda3e, R-333206289-da2eb5fc",functional,high
TC-25.3,REQ-25,Verify user can complete send money task in under 3 taps,"Launch the app and log in. | Start the 'send money' task from the home screen. | Count the number of taps required to complete the task (including selecting recipient, entering amount, and confirming).","The user can complete the send money task in under 3 taps from the home screen, with clear and intuitive steps.","R-333206289-713fda3e, R-333206289-da2eb5fc",functional,high
TC-26.1,REQ-26,Verify short videos are removed or hidden behind a toggle,"Launch the app and navigate to the main feed. | Check if short videos are displayed in the feed. | If present, look for a toggle or setting to hide them. | Enable the toggle if available and return to the feed.",Short videos are either removed from the main feed or hidden behind a toggle that users can enable to hide them. The feed appears cleaner without unwanted video content.,"R-333206289-879e95cd, R-333206289-6d590136, R-333206289-a1bbf18b",functional,high
TC-26.2,REQ-26,Verify red background theme is replaced with neutral default,"Launch the app and observe the default background theme. | Navigate through different screens to check the background color. | If a red background appears, look for a theme setting to change it. | Change the theme to a neutral default if available.",The red background theme is replaced with a neutral default theme across the app. Users no longer see the red background that was considered cluttering.,"R-333206289-6d590136, R-333206289-a1bbf18b, R-333206289-f98d2ed9",functional,high
TC-26.3,REQ-26,Verify message boxes are dismissible and do not reappear automatically,Trigger a message box to appear in the app. | Dismiss the message box using the close button or swipe. | Navigate away and return to the same screen. | Repeat the action that triggered the message box.,Message boxes can be dismissed by the user and do not reappear automatically after dismissal. The user has control over when message boxes are shown.,"R-333206289-879e95cd, R-333206289-a1bbf18b, R-333206289-f98d2ed9",functional,high
TC-27.1,REQ-27,Verify non-core features are removed or moved to Advanced section,Open the app and navigate to the main menu. | Review the list of features available. | Check if at least 20% of non-core features are either removed or moved to an 'Advanced' section.,"At least 20% of non-core features are removed or moved to an 'Advanced' section, and the main menu is streamlined with only core features visible by default.","R-333206289-9318b802, R-333206289-3797f06c, R-333206289-9777675b",functional,high
TC-27.2,REQ-27,Verify settings menu shows only essential options by default,"Open the app and navigate to the settings menu. | Review the options displayed. | Check if only essential options are listed by default, with non-essential options hidden or moved to an 'Advanced' section.","The settings menu lists only essential options by default, and non-essential options are either hidden or accessible under an 'Advanced' section.","R-333206289-da312f8d, R-333206289-b0216718",functional,high
TC-27.3,REQ-27,Verify main payment function is accessible within one tap from home screen,Open the app and land on the home screen. | Look for the main payment function. | Attempt to access the payment function with a single tap.,"The main payment function is accessible within one tap from the home screen, ensuring quick and easy access for users.","R-333206289-9318b802, R-333206289-3797f06c",functional,high
TC-28.1,REQ-28,Verify app description and onboarding highlight payment as core function,Open the app store listing for the app. | Read the app description. | Install the app and complete the onboarding flow. | Observe the messaging and visuals presented during onboarding.,"The app description and onboarding clearly emphasize payment as the primary function, with no confusing non-financial or social messaging taking precedence.","R-333206289-63b07cba, R-333206289-8e04e3ed",functional,high
TC-28.2,REQ-28,Verify social features are moved to a separate tab or section,"Launch the app after update. | Navigate the main interface. | Identify the location of social features (e.g., feed, chat, community). | Check if social features are grouped in a distinct tab or section separate from payment functions.","Social features are accessible only from a clearly separate tab or section, and the main payment flow is not interrupted by social content.","R-333206289-63b07cba, R-333206289-8e04e3ed",functional,high
TC-29.1,REQ-29,Verify dark mode is applied to all primary navigation screens,"Enable dark mode in the system settings. | Open the app and navigate through all primary navigation screens (e.g., Home, Search, Profile, Settings). | Check each screen for text readability, background color, and element visibility.","All primary navigation screens display correctly in dark mode with no unreadable text or elements, and no screen shows a white background or unadjusted colors.","R-333206289-ee213078, R-333206289-4a7375fe, R-333206289-d03211a7",functional,high
TC-29.2,REQ-29,Verify icons and widgets adapt to dark mode,"Enable dark mode in the system settings. | Open the app and navigate to screens that contain icons and widgets (e.g., home screen widgets, toolbar icons, buttons). | Observe the appearance of icons and widgets.","Icons and widgets automatically switch to dark mode variants when the system dark mode is enabled, ensuring they are visible and consistent with the dark theme.","R-333206289-aafdccb9, R-333206289-115bc3b7",functional,high
TC-30.1,REQ-30,Verify app icon has no promotional badges,"Install the app version v1.8.0 on a device. | Locate the app icon on the home screen. | Inspect the icon for any promotional badges, text, or seasonal elements.","The app icon is clean, contains no promotional badges or text, and is visually consistent with the app's branding.","R-333206289-a0bcb1b4, R-333206289-3249c035, R-333206289-ae588c2a",functional,high
TC-30.2,REQ-30,Verify new icon does not trigger negative feedback in beta testing,Deploy the new app icon to a beta testing group. | Collect user feedback specifically about the app icon. | Analyze feedback for any negative comments or complaints.,No negative feedback is received regarding the app icon during beta testing; the icon is well-received.,"R-333206289-58be2f49, R-333206289-2be49e22",usability,medium
TC-31.1,REQ-31,Verify app launches and runs without crashes on iOS 12 devices,Install the app on an iOS 12 device. | Launch the app. | Navigate through all main screens and features.,The app launches successfully and does not crash during navigation on iOS 12 devices.,"R-333206289-00326415, R-333206289-8a4963e9, R-333206289-e8865c63",functional,high
TC-31.2,REQ-31,Verify all screens render correctly in iPad landscape mode,Open the app on an iPad. | Rotate the device to landscape orientation. | Navigate through all main screens and check for layout issues.,"All screens render correctly in iPad landscape mode without any layout issues, overlapping elements, or cut-off content.","R-333206289-9dd4da3f, R-333206289-00326415",functional,high
TC-32.1,REQ-32,Verify no blank pages during normal navigation,Launch the app and log in if required. | Navigate through all main screens and features for 30 minutes. | Monitor for any blank pages or unresponsive states.,No blank pages appear during the 30-minute navigation session; all screens render correctly.,"R-333206289-1fd2bc1f, R-333206289-db11c1d7, R-333206289-88ebb1cc",functional,high
TC-32.2,REQ-32,Verify system errors show user-friendly message,Trigger a system error by simulating a server failure or invalid response. | Observe the app's behavior. | Check that an error message is displayed instead of a crash.,The app displays a user-friendly error message and does not crash; the user can continue using the app.,"R-333206289-1fd2bc1f, R-333206289-db11c1d7, R-333206289-88ebb1cc",functional,high
TC-32.3,REQ-32,Verify graceful recovery from network failures,"Start using the app with a stable network connection. | Disable the network connection (e.g., turn on airplane mode). | Attempt to perform actions that require network. | Re-enable the network connection and check if the app recovers without restart.","The app handles network loss gracefully, shows appropriate error states, and recovers automatically when the network is restored without requiring a restart.","R-333206289-1fd2bc1f, R-333206289-db11c1d7, R-333206289-88ebb1cc",functional,high
TC-33.1,REQ-33,Verify QR code displays correctly on Apple Watch,Launch the app on Apple Watch. | Navigate to the QR code generation screen. | Generate a QR code. | Observe the QR code display.,The QR code is displayed correctly and clearly on the Apple Watch screen without any distortion or truncation.,"R-333206289-6b5d3264, R-333206289-8c708150",functional,high
TC-33.2,REQ-33,Verify app stability when generating QR codes on Apple Watch,Launch the app on Apple Watch. | Repeatedly generate QR codes in quick succession. | Monitor the app for crashes or freezes. | Check that the app remains responsive.,"The app does not crash or freeze during repeated QR code generation, and remains responsive throughout.","R-333206289-6b5d3264, R-333206289-8c708150",functional,high
TC-34.1,REQ-34,Verify no crashes during 1-hour continuous usage,"Launch the app after updating to the latest version. | Use the app continuously for 1 hour, navigating through all main features and screens. | Monitor the app for any crashes or unexpected closures.",The app remains stable and does not crash during the 1-hour continuous usage test.,"R-333206289-b7e3c3fd, R-333206289-ae0f9e59, R-333206289-7f904937",functional,high
TC-34.2,REQ-34,Verify no background restart within 24 hours after update,"Update the app to the latest version. | Close the app and leave it in the background. | Wait for 24 hours without manually opening the app. | After 24 hours, check if the app has restarted in the background by reviewing system logs or app state.",The app does not restart in the background within 24 hours after the update.,"R-333206289-ae0f9e59, R-333206289-7f904937, R-333206289-9c4f4c9f",functional,high
TC-34.3,REQ-34,Verify lag reduction by at least 50% based on performance benchmarks,Run performance benchmarks on the previous version to establish baseline lag metrics. | Update the app to the latest version. | Run the same performance benchmarks on the updated version. | Compare the lag metrics between the two versions.,The lag metrics in the updated version are reduced by at least 50% compared to the previous version.,"R-333206289-7f904937, R-333206289-9c4f4c9f, R-333206289-1d19703a",performance,high
TC-35.1,REQ-35,Verify app opens successfully after update on supported devices,Install the updated app version on a supported device with a specific OS version. | Launch the app. | Navigate through the main screens.,The app opens successfully without crashing and all main screens are accessible.,"R-333206289-fe138f1d, R-333206289-6e455043, R-333206289-eb8f4783",functional,high
TC-35.2,REQ-35,Verify no crash reports for top 5 device models within 7 days,Deploy the updated app version. | Monitor crash reporting system for 7 days. | Check crash reports for the top 5 device models.,No crash reports are logged for the top 5 device models within 7 days of release.,"R-333206289-fe138f1d, R-333206289-6e455043, R-333206289-eb8f4783",regression,high
